time_sec,event,channel,note,note_name,velocity
0.000000,note_on,0,42,F#2,76
0.000000,note_on,1,54,F#3,50
0.000000,note_on,1,23,B0,50
0.000000,note_on,1,50,D3,50
0.000000,note_on,9,36,C2,50
0.000000,note_on,9,42,F#2,50
0.000000,note_on,2,43,G2,50
0.117188,note_off,0,42,F#2,0
0.117188,note_on,0,45,A2,76
0.117188,note_off,9,42,F#2,0
0.117188,note_off,9,36,C2,0
0.117188,note_off,2,43,G2,0
0.234375,note_off,0,45,A2,0
0.234375,note_on,0,47,B2,76
0.234375,note_on,9,42,F#2,50
0.351562,note_off,0,47,B2,0
0.351562,note_on,0,50,D3,76
0.351562,note_off,9,42,F#2,0
0.468750,note_on,0,50,D3,0
0.468750,note_off,0,50,D3,0
0.468750,note_on,9,40,E2,50
0.468750,note_on,9,42,F#2,50
0.585938,note_on,0,45,A2,76
0.585938,note_off,9,42,F#2,0
0.585938,note_off,9,40,E2,0
0.585938,note_on,9,45,A2,50
0.703125,note_off,0,45,A2,0
0.703125,note_on,0,47,B2,76
0.703125,note_off,9,45,A2,0
0.703125,note_on,9,43,G2,50
0.820312,note_off,0,47,B2,0
0.820312,note_on,0,50,D3,76
0.820312,note_off,9,43,G2,0
0.820312,note_on,9,40,E2,50
0.937500,note_off,0,50,D3,0
0.937500,note_on,0,42,F#2,76
0.937500,note_off,9,40,E2,0
0.937500,note_on,9,42,F#2,50
1.054688,note_off,0,42,F#2,0
1.054688,note_on,0,45,A2,76
1.054688,note_off,9,42,F#2,0
1.054688,note_on,9,43,G2,50
1.171875,note_off,0,45,A2,0
1.171875,note_on,0,47,B2,76
1.171875,note_off,9,43,G2,0
1.171875,note_on,9,46,A#2,50
1.171875,note_on,9,42,F#2,50
1.171875,note_on,9,40,E2,50
1.289062,note_off,0,47,B2,0
1.289062,note_on,0,50,D3,76
1.289062,note_off,9,40,E2,0
1.289062,note_off,9,42,F#2,0
1.289062,note_off,9,46,A#2,0
1.406250,note_off,0,50,D3,0
1.406250,note_on,0,42,F#2,76
1.406250,note_on,9,42,F#2,50
1.523438,note_off,0,42,F#2,0
1.523438,note_on,0,45,A2,76
1.523438,note_off,9,42,F#2,0
1.523438,note_on,9,38,D2,50
1.640625,note_off,0,45,A2,0
1.640625,note_on,0,47,B2,76
1.640625,note_off,9,38,D2,0
1.640625,note_on,9,45,A2,50
1.640625,note_on,9,42,F#2,50
1.757812,note_off,0,47,B2,0
1.757812,note_on,0,50,D3,76
1.757812,note_off,9,42,F#2,0
1.757812,note_off,9,45,A2,0
1.757812,note_on,9,43,G2,50
1.875000,note_off,0,50,D3,0
1.875000,note_on,0,43,G2,76
1.875000,note_off,1,50,D3,0
1.875000,note_off,1,23,B0,0
1.875000,note_off,1,54,F#3,0
1.875000,note_on,1,55,G3,50
1.875000,note_on,1,19,G0,50
1.875000,note_on,1,47,B2,50
1.875000,note_off,9,43,G2,0
1.875000,note_on,9,36,C2,50
1.875000,note_on,9,42,F#2,50
1.875000,note_on,2,43,G2,50
1.992188,note_off,0,43,G2,0
1.992188,note_on,0,45,A2,76
1.992188,note_off,9,42,F#2,0
1.992188,note_off,9,36,C2,0
1.992188,note_off,2,43,G2,0
2.109375,note_off,0,45,A2,0
2.109375,note_on,0,47,B2,76
2.109375,note_on,9,42,F#2,50
2.226562,note_off,0,47,B2,0
2.226562,note_on,0,50,D3,76
2.226562,note_off,9,42,F#2,0
2.343750,note_off,0,50,D3,0
2.343750,note_on,0,43,G2,76
2.343750,note_on,9,40,E2,50
2.343750,note_on,9,42,F#2,50
2.460938,note_off,0,43,G2,0
2.460938,note_on,0,45,A2,76
2.460938,note_off,9,42,F#2,0
2.460938,note_off,9,40,E2,0
2.460938,note_on,9,45,A2,50
2.578125,note_off,0,45,A2,0
2.578125,note_on,0,47,B2,76
2.578125,note_off,9,45,A2,0
2.578125,note_on,9,43,G2,50
2.695312,note_off,0,47,B2,0
2.695312,note_on,0,50,D3,76
2.695312,note_off,9,43,G2,0
2.695312,note_on,9,40,E2,50
2.812500,note_off,0,50,D3,0
2.812500,note_on,0,43,G2,76
2.812500,note_off,9,40,E2,0
2.812500,note_on,9,42,F#2,50
2.929688,note_off,0,43,G2,0
2.929688,note_on,0,45,A2,76
2.929688,note_off,9,42,F#2,0
2.929688,note_on,9,43,G2,50
3.046875,note_off,0,45,A2,0
3.046875,note_on,0,47,B2,76
3.046875,note_off,9,43,G2,0
3.046875,note_on,9,46,A#2,50
3.046875,note_on,9,42,F#2,50
3.046875,note_on,9,40,E2,50
3.164062,note_off,0,47,B2,0
3.164062,note_on,0,50,D3,76
3.164062,note_off,9,40,E2,0
3.164062,note_off,9,42,F#2,0
3.164062,note_off,9,46,A#2,0
3.281250,note_off,0,50,D3,0
3.281250,note_on,0,43,G2,76
3.281250,note_on,9,42,F#2,50
3.398438,note_off,0,43,G2,0
3.398438,note_on,0,45,A2,76
3.398438,note_off,9,42,F#2,0
3.398438,note_on,9,38,D2,50
3.515625,note_off,0,45,A2,0
3.515625,note_on,0,47,B2,76
3.515625,note_off,9,38,D2,0
3.515625,note_on,9,45,A2,50
3.515625,note_on,9,42,F#2,50
3.632812,note_off,0,47,B2,0
3.632812,note_on,0,50,D3,76
3.632812,note_off,9,42,F#2,0
3.632812,note_off,9,45,A2,0
3.632812,note_on,9,43,G2,50
3.750000,note_off,0,50,D3,0
3.750000,note_on,0,47,B2,76
3.750000,note_off,1,47,B2,0
3.750000,note_off,1,19,G0,0
3.750000,note_off,1,55,G3,0
3.750000,note_on,1,54,F#3,50
3.750000,note_on,1,26,D1,50
3.750000,note_on,1,50,D3,50
3.750000,note_off,9,43,G2,0
3.750000,note_on,9,36,C2,50
3.750000,note_on,9,42,F#2,50
3.750000,note_on,2,43,G2,50
3.867188,note_off,0,47,B2,0
3.867188,note_on,0,50,D3,76
3.867188,note_off,9,42,F#2,0
3.867188,note_off,9,36,C2,0
3.867188,note_off,2,43,G2,0
3.984375,note_off,0,50,D3,0
3.984375,note_on,0,52,E3,76
3.984375,note_on,9,42,F#2,50
4.101562,note_off,0,52,E3,0
4.101562,note_on,0,54,F#3,76
4.101562,note_off,9,42,F#2,0
4.218750,note_off,0,54,F#3,0
4.218750,note_on,0,47,B2,76
4.218750,note_on,9,40,E2,50
4.218750,note_on,9,42,F#2,50
4.335938,note_off,0,47,B2,0
4.335938,note_on,0,50,D3,76
4.335938,note_off,9,42,F#2,0
4.335938,note_off,9,40,E2,0
4.335938,note_on,9,45,A2,50
4.453125,note_off,0,50,D3,0
4.453125,note_on,0,52,E3,76
4.453125,note_off,9,45,A2,0
4.453125,note_on,9,43,G2,50
4.570312,note_off,0,52,E3,0
4.570312,note_on,0,54,F#3,76
4.570312,note_off,9,43,G2,0
4.570312,note_on,9,40,E2,50
4.687500,note_off,0,54,F#3,0
4.687500,note_on,0,47,B2,76
4.687500,note_off,9,40,E2,0
4.687500,note_on,9,42,F#2,50
4.804688,note_off,0,47,B2,0
4.804688,note_on,0,50,D3,76
4.804688,note_off,9,42,F#2,0
4.804688,note_on,9,43,G2,50
4.921875,note_off,0,50,D3,0
4.921875,note_on,0,52,E3,76
4.921875,note_off,9,43,G2,0
4.921875,note_on,9,46,A#2,50
4.921875,note_on,9,42,F#2,50
4.921875,note_on,9,40,E2,50
5.039062,note_off,0,52,E3,0
5.039062,note_on,0,54,F#3,76
5.039062,note_off,9,40,E2,0
5.039062,note_off,9,42,F#2,0
5.039062,note_off,9,46,A#2,0
5.156250,note_off,0,54,F#3,0
5.156250,note_on,0,47,B2,76
5.156250,note_on,9,42,F#2,50
5.273438,note_off,0,47,B2,0
5.273438,note_on,0,50,D3,76
5.273438,note_off,9,42,F#2,0
5.273438,note_on,9,38,D2,50
5.390625,note_off,0,50,D3,0
5.390625,note_on,0,52,E3,76
5.390625,note_off,9,38,D2,0
